sector,EL_base,EL_stress,dEL,phys_gross,phys_EL,total_EL
Power,1420.7319018791227,2319.565366420305,898.8334645411824,11451.8,572.59,1471.4234645411825
Other,644.9832704435836,1038.671714334549,393.68844389096546,4491.825,224.59125,618.2796938909655
Transport,894.8800818433396,1411.3011867640896,516.42110492075,6455.3499999999985,322.7674999999999,839.18860492075
Oil & Gas,637.8156609639427,1006.9115079730452,369.0958470091025,4738.125,236.90625,606.0020970091025
Real Estate,857.9064036773419,1377.7438524526426,519.8374487753007,7408.725,370.43625000000003,890.2736987753008
Cement,889.6254419096884,1415.9017338227216,526.2762919130331,6983.0,349.15000000000003,875.4262919130331
Steel,1147.5824247600492,1880.1883577974177,732.6059330373685,8989.675,449.48375,1182.0896830373686
